,trends,Clothes Sales 2016 Q1,Clothes Sales 2016 Q2,Clothes Sales 2016 Q3,Clothes Sales 2016 Q4,Clothes Sales 2017 Q1,Clothes Sales 2017 Q2,Clothes Sales 2017 Q3,Clothes Sales 2017 Q4,Clothes Sales 2018 Q1,Clothes Sales 2018 Q2,Clothes Sales 2018 Q3
0,24-Hour Living,152906330.0,163511248.0,158170761.0,162859379.0,149923029.0,158915752.0,147122298.0,145419549.0,140982995.0,150918444.0,147262786.0
1,Blurred Eating Occasions,452292633.0,439268317.0,438662893.0,502726809.0,422933377.0,472145342.0,457034971.0,543991774.0,461572060.0,460052201.0,460507391.0
2,Changing Cultural Identity,5483299.0,5789357.0,5641656.0,5839292.0,5493142.0,5289395.0,4912786.0,4573212.0,4466081.0,4707632.0,4340924.0
3,Changing Perception of Nutrition,747921640.0,766301770.0,744453642.0,759898573.0,715323822.0,765265988.0,721728173.0,742502650.0,704713497.0,735303570.0,717900687.0
5,DIY Creation & Education,1798464.0,2052896.0,1969181.0,1622301.0,1461137.0,1475401.0,1389229.0,1278322.0,1104829.0,1174748.0,1152539.0
6,Emotional Connectivity,459502706.0,407521762.0,411971567.0,534620230.0,419274512.0,476272589.0,441165817.0,599270828.0,475816200.0,448790525.0,449068877.0
9,Extreme Indulgence,72626011.0,71628331.0,70398870.0,77651277.0,65519444.0,78441566.0,73038612.0,80103575.0,73330297.0,75234794.0,72665759.0
10,Faster Consumption Cycles,1925420.0,1916270.0,1647834.0,1550836.0,1488416.0,1467780.0,1658176.0,1546929.0,1387000.0,1459534.0,1548717.0
12,Health Beyond the Physical,235262822.0,230139366.0,226569789.0,260567796.0,234608791.0,259103279.0,246872513.0,285217211.0,253403457.0,252539870.0,244167781.0
14,Legislated Health,702501031.0,721226786.0,699542514.0,704670200.0,669305724.0,714343777.0,673330273.0,684711449.0,653777586.0,687418299.0,672332891.0
15,Lessening of the Middle Ground,35384201.0,30951113.0,31558038.0,33526343.0,34067283.0,42782682.0,37294020.0,37141692.0,41790789.0,40670439.0,38019861.0
17,New Terms of Engagement,30740946.0,25602077.0,25043812.0,41072371.0,27736976.0,30871771.0,27707640.0,43787425.0,28299519.0,27567334.0,26628154.0
18,"Overfed, Undernourished",22273.0,30684.0,19242.0,42324.0,17215.0,17532.0,13866.0,11197.0,12570.0,12959.0,12355.0
20,Personalized Improvement,30129241.0,28936158.0,28499028.0,31808705.0,28905712.0,33517946.0,30107169.0,31726745.0,29917513.0,30963283.0,29180202.0
22,Place Matters,1366989.0,1299402.0,1115786.0,3226443.0,1190242.0,1289262.0,1178174.0,3893148.0,1263362.0,1316380.0,1168368.0
24,Principled Shopper,86651325.0,87565981.0,89082275.0,100925485.0,86842473.0,94194317.0,89141895.0,92640713.0,85337715.0,84604541.0,79987326.0
26,Proactive Transparency,1382539.0,1315672.0,1131734.0,3242346.0,1204341.0,1304764.0,1193804.0,3908612.0,1277389.0,1331193.0,1179383.0
27,Redefining Big Business,1366989.0,1299402.0,1115786.0,3226443.0,1190242.0,1289262.0,1178174.0,3893148.0,1263362.0,1316380.0,1168368.0
28,Shifting Supply,8606350.0,5621287.0,5486843.0,6257492.0,7412688.0,10122012.0,9757902.0,8874438.0,9228477.0,10368336.0,9583174.0
29,Simple & Authentic,86937287.0,87838804.0,89337570.0,101177442.0,87171926.0,94090898.0,88881777.0,92441535.0,84957170.0,84169376.0,79577139.0
30,The New Competition,86773458.0,87748945.0,89242841.0,101190388.0,88247857.0,97497224.0,92342605.0,94396084.0,87623268.0,87867438.0,83201628.0
31,The New Deal,7.0,9.0,6.0,39.0,4.0,16.0,0.0,0.0,0.0,31552.0,37204.0
33,The Rise of Alternatives,11343304.0,10168608.0,18093871.0,21816825.0,8987440.0,9592829.0,17949578.0,21669970.0,9629446.0,9769054.0,18621102.0
34,Ultra-Convenience,857419716.0,834401904.0,800583969.0,836576524.0,785517289.0,846011985.0,786277544.0,815096848.0,795185931.0,789534588.0,762859857.0
35,Urban Workforce,1296938.0,1134382.0,977778.0,975214.0,956585.0,857284.0,769938.0,749550.0,762437.0,744217.0,659625.0
