,trends,Makeup Sales2016 Q1,Makeup Sales2016 Q2,Makeup Sales2016 Q3,Makeup Sales2016 Q4,Makeup Sales2017 Q1,Makeup Sales2017 Q2,Makeup Sales2017 Q3,Makeup Sales2017 Q4,Makeup Sales2018 Q1,Makeup Sales2018 Q2,Makeup Sales2018 Q3,Makeup Sales 2018 Q4
0,24-Hour Living,66896280.0,63290760.0,58334380.0,60647591.174855396,57396895.581414126,58820243.77740756,55730431.43143148,56598805.17460114,57086158.62794808,51186319.79204215,53376223.07890348,55336809.850340165
1,Blurred Eating Occasions,22062380.0,20965860.0,20314840.0,21395188.23311075,20763332.486985277,18679698.404173847,17889056.239940457,16199805.91027275,11431103.381742423,16630343.072095903,14273317.186268304,16109883.01996575
2,Changing Cultural Identity,51220.0,131080.0,111730.0,616336.057554711,1479920.9792153994,-508203.8722037311,617967.8081940112,-554007.2625561105,199820.07472534777,1368043.0842788464,-377460.7811727406,-386403.5477730875
3,Changing Perception of Nutrition,1359819310.0,1347262250.0,1311925420.0,1331209777.4704099,1326591086.0467277,1271822334.1759446,1256105025.354435,1295905587.4264426,1312105144.8031864,1290511612.850114,1273400945.053509,1273400945.053509
4,Curated Life,218591320.0,221095300.0,221884280.0,224102432.53156924,228173641.97519234,242749662.47818503,242396348.39617565,245281748.35620496,245506807.59906068,238512203.1949212,248682566.71136084,255418562.73985994
5,DIY Creation & Education,38228020.0,41981080.0,40242960.0,40157757.43632824,43686357.05959165,41961406.578148484,39446375.750190675,42841557.25297588,44768410.74126382,38539375.110313274,36971722.11460119,35166459.93362604
6,Emotional Connectivity,146304520.0,119519800.0,101150990.0,110930650.67674305,112363450.61141062,76847242.76913668,76223213.5656914,83860303.15923724,83770780.9482434,78130950.85120723,77342280.6162788,71598343.92636375
7,Experience Economy,0.0,0.0,0.0,526144.5619384928,1341037.2704560116,-629419.7994566434,505972.23618586856,-701591.0963280124,146730.65136377214,1366304.8766933456,102378.90865259734,286199.818287877
8,Extreme Efficiency,93441580.0,90494630.0,87272580.0,89676793.78722712,82274934.82178573,78626475.23514092,70467813.2720139,72113092.67458299,66904989.18283548,68724155.24285443,69613834.7034558,66987720.542401694
9,Extreme Indulgence,536118090.0,530117930.0,532710610.0,540768284.0843866,545207173.2238294,547589864.3750343,547803741.4013553,557769248.7231085,556962685.6305628,546034556.5880275,537550305.604205,552074969.0890578
10,Faster Consumption Cycles,225812470.0,225369690.0,221558890.0,224722196.0526785,228045764.6471628,226376341.7630212,233098976.60649315,237274219.2696404,238042474.21018574,234860511.81052893,234321801.33647424,230375625.88831502
